eem_id,document,cat_lev1,cat_lev2,eem_name,tags,type,uni_code,uni_code_manual,match
1401,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Install or Upgrade Master Venting,NA,NA,NA,D3040,0
1402,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Clean and/or repair,NA,NA,NA,X0000,0
1403,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Implement training and/or documentation,NA,NA,NA,X0000,0
1404,BSYNC,"Heating, Ventilating, and Air Conditioning",0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,X0000,0
1405,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other heating,NA,NA,NA,D3020,0
1406,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other cooling,NA,NA,NA,D3030,0
1407,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other ventilation,NA,NA,NA,D3040,0
1408,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other distribution,NA,NA,NA,D3040,0
1409,BSYNC,"Heating, Ventilating, and Air Conditioning",0,Other,NA,NA,NA,X0000,0
1410,BSYNC,Appliance and plug-load reductions,0,Replace with ENERGY STAR rated,ENERGY STAR,Descriptor,X0000,E10,0
1411,BSYNC,Appliance and plug-load reductions,0,Install plug load controls,controls,Element,D3060,E10,0
1412,BSYNC,Appliance and plug-load reductions,0,Automatic shutdown or sleep mode for computers,Computer,Element,E1010,E1010,1
1413,BSYNC,Appliance and plug-load reductions,0,De-lamp vending machines,Lamp,Element,D5020,E1010,0
1413,BSYNC,Appliance and plug-load reductions,0,De-lamp vending machines,Vending Machine,Element,E1010,E1010,1
1414,BSYNC,Appliance and plug-load reductions,0,Replace clothes dryers,Clothes dryer,Element,E1090,E1090,1
1415,BSYNC,Appliance and plug-load reductions,0,Replace washing machines,washing machine,Element,E1090,E1090,1
1416,BSYNC,Appliance and plug-load reductions,0,Clean and/or repair,NA,NA,NA,E10,0
1417,BSYNC,Appliance and plug-load reductions,0,Implement training and/or documentation,NA,NA,NA,E10,0
1418,BSYNC,Appliance and plug-load reductions,0,"Upgrade operating protocols, calibration, and/or sequencing",NA,NA,NA,E10,0
1419,BSYNC,Appliance and plug-load reductions,0,Other,NA,NA,NA,E10,0
1420,BSYNC,Refrigeration,0,Replace ice/refrigeration equipment with high efficiency units,Equipment,Element,E10,E1090,0
1421,BSYNC,Refrigeration,0,Replace air-cooled ice/refrigeration equipment,air cooled,Descriptor,D3030,E1090,0
1421,BSYNC,Refrigeration,0,Replace air-cooled ice/refrigeration equipment,Equipment,Element,E10,E1090,0
1422,BSYNC,Refrigeration,0,Replace refrigerators,Refrigerator,Element,E1090,E1090,1
